Table 1-1
Name,Brand,Type,Origin,Theme,Daytime,Temp,Brew,Quantity,Repurchase?,Collection,Since,Description,Additives,Aroma Notes
Uji Premium Matcha,Yoshi,Matcha,Japan,,Morning,80℃,,Full,Yes,Core,2025,"Our favourite premium matcha, 100% from 1st harvest, organic, ground on stone mills in Uji. Umami notes, balanced, refreshing and delicately bitter.",,"Subtly sweet, bittersweet, sesame"
Bourbon,Dammann Frères,Black (Red),n.a.,,Morning,90℃,5 min,Full,,Testing,2024,"A blend of black teas scented with the aromas of vanilla and caramel. Ideal for lovers of warm, gourmet teas.","Flavors (vanilla, caramel)","Vanilla, caramel"
Turkish Black Tea,Lazika,Black (Red),Turkey,,Morning,100℃,17 min,Half,No,Range,2022,"Our teas carry the first breath of spring; they flourish with the May flush, the first harvest after winter. This particular tea from the high tea gardens of Rize is known for its clear color, intense aroma, and distinctive flavor. Its slight astringency is a characteristic feature of high tea gardens, reflecting the depth and richness of Lazika Black Tea. Double-filtered for a clear and refined taste.",,
American Breakfast,Mariage Frères,Black (Red),n.a.,Breakfast,Morning,90℃,5 min,Full,Yes,Core,2023,"A delicious black tea with a hint of caramelized chocolate; good with a drop of cold milk, perfect with breakfast in Manhattan.",,Chocolate
Covent Garden Morning,Mariage Frères,Black (Red),n.a.,Breakfast,Morning,90℃,5 min,Full,,Testing,2024,"A tip of the hat to our tea emporium located in the heart of swinging London, Covent Garden Morning® is a blend of luscious black teas evoking rich hazelnut. The liqueur unleashes warm and reassuring tones, sustained by smooth, generous flavours. For bright mornings.",,Hazelnut
French Breakfast,Mariage Frères,Black (Red),n.a.,Breakfast,Morning,90℃,5 min,Half,Yes,Core,2023,"This blend of grand and elegant black teas offers a brew with a round taste, both chocolatey and malty, and structured flavour, powerful and refined. A tasty and balanced morning tea, in the best tradition of Thé Français.",,"Chocolate, malt"
Earl Grey French Blue,Mariage Frères,Black (Red),n.a.,Specials - Blue,Morning,90℃,5 min,Full,No,Range,2022,"Graceful and sophisticated, this classic blend reinvents itself by pairing the fruity, zesty and lightly peppery notes of refined bergamot with the sweet-scented hint of cornflower. 
Balanced and full of body with ample and lasting flavour, the liqueur floods the palate with its charm and majesty.","Bergamot, cornflower","Zest, pepper, bergamot"
Caramel,Palais de Thés,Black (Red),Sri Lanka / China,Nostalgia,Morning,90℃,5 min,Half,Yes,Core,2000,This sweet blend of black tea and caramel pieces is a pure delight.,"Caramel pieces, nougatine, flavors",Sweet
Darjeeling Margaret’s Hope F.T.G.F.O.P.,Palais de Thés,Black (Red),India,Specials - Orange Pekoe,Morning,90℃,5 min,Half,,Testing,2024,"Margaret's Hope is a fruity Darjeeling with a great character. Special feature: it is invigorating and dark because of the greater proportion of Assam tea plants (20%) than Chinese plants on the plantation, something that is not very common in Darjeeling.",,"Floral, fruity, woody, honey, liquorice"
Darjeeling Puttabong F.T.G.F.O.P.,Palais de Thés,Black (Red),India,Specials - Orange Pekoe,Morning,95℃,4 min,Half,Unavailable,Testing,2023,"This black tea is a second flush from Puttabong, the oldest tea estate in Darjeeling. This powerful and aromatic tea is perfect for mornings.",,"Woody, spicy, waxed"
Big Ben,Palais de Thés,Black (Red),n.a.,Breakfast,Morning,90℃,5 min,Full,,Testing,2023,"Ever since colonial times, the English have created tea blends, (Darjeeling, Assam, Ceylon etc), using varying proportions depending on the time of day: teas with more body in the morning and lighter ones in the afternoon. In line with this tradition Le Palais des Thés has created blends whose balance is geared to different moments of the day.

A very good blend of Yunnan and Assam. Both mild and invigorating, round and spicy, it is a successful blend of the main characteristics of both teas.",,
Kenya Kirinyaga,Palais de Thés,Black (Red),Kenya,,Morning,90℃,5 min,Full,,Testing,2024,"This tea is from the Meru region and is harvested in the area around Mount Kenya. ""Kirinyaga"" – the name given to this famous red volcano by the Kikuyu – means ""white mountain"". This black tea is made from clonal tea plants specific to the region.
Its intense woody and honeyed notes, as well as its robust texture make this powerful black tea a perfect breakfast companion.",,"Woody, honey"
